"","words","term.freq","doc.freq"
"4197","effec",1,1
"4198","tual",1,1
"4199","regular",25,18
"4200","redemption",2,2
"4201","reserved",4,4
"4202","viewed",1,1
"4203","intrinsic",1,1
"4204","nation.provision",1,1
"4205","reimbursement",2,2
"4206","loan",14,12
"4207","section",10,5
"4208","incorporated",3,2
"4209","stipulations",3,3
"4210","saving",6,4
"4211","made.appropriations",1,1
"4212","current",9,6
"4213","extraordinaries",1,1
"4214","attention.gentlemen",1,1
"4215","content",5,5
"4216","recalling",2,2
"4217","particularized",1,1
"4218","communications",4,4
"4219","you.various",1,1
"4220","expire",2,2
"4221","regulates",2,2
"4222","notice.the",1,1
"4223","results",6,5
"4224","deliberations",2,2
"4225","solid",2,2
"4226","durable",1,1
"4227","constituents",3,3
"4228","conciliating",2,2
"4229","ultimate",3,3
"4230","suffrage",1,1
"4231","strengthen",3,3
"4232","materially",3,3
"4233","happiness.still",1,1
"4234","promote",3,3
"4235","secure",16,16
"4236","inestimable",2,2
"4237","ends",1,1
"4238","harmony",4,4
"4239","stability",3,3
"4240","petersburgh",6,5
"4241","resides",3,3
"4242","edward",6,6
"4243","court-house",1,1
"4244","john",78,33
"4245","hollaway",1,1
"4246","soldier",4,4
"4247","mabon",1,1
"4248","gibraltor",1,1
"4249","vigo",1,1
"4250","coronation",2,1
"4251","queen",5,5
"4252","anne",1,1
"4253","marlborough",1,1
"4254","ormond.he",1,1
"4255","event.from",1,1
"4256","sings",1,1
"4257","song",2,2
"4258","voice",7,6
"4259","distinct",15,15
"4260","culation.this",1,1
"4261","man's",4,4
"4262","aged",3,2
"4263","alive",3,3
"4264","lives",46,29
"4265","instructions",9,8
"4266","attorney",3,3
"4267","penn",1,1
"4268","sylvania",1,1
"4269","prosecutions",1,1
"4270","singleterry",1,1
"4271","gideon",1,1
"4272","henfield",1,1
"4273","charged",4,4
"4274","violating",1,1
"4275","entering",3,3
"4276","schooner",9,8
"4277","genet",1,1
"4278","capturing",1,1
"4279","britannic",4,3
"4280","annoying",1,1
"4281","majesty.the",1,1
"4282","goal",2,2
"4283","circuit",2,2
"4284","states.a",1,1
"4285","charleston",4,2
"4286","augusta",2,2
"4287","georgia",12,10
"4288","marching",4,4
"4289","bowles",4,3
"4290","gilpin",2,2
"4291","pugh",0,0
"4292","pugh.the",1,1
"4293","determinded",1,1
"4294","headed",4,4
"4295","successor",4,4
"4296","m'gillivray",9,5
"4297","commenced",23,21
"4298","knoxville",1,1
"4299","describe",6,6
"4300","bloody",5,4
"4301","isaac",4,4
"4302","bledose",1,1
"4303","massacred",4,4
"4304","house.on",0,0
"4305","greenfield",1,1
"4306","jervis",1,1
"4307","mrs",17,13
"4308","tarker",1,1
"4309","neely",2,1
"4310","wilson",8,7
"4311","preserved",8,8
"4312","flight",7,6
"4313","remembered",4,4
"4314","brothers",4,3
"4315","pursuit",6,6
"4316","indians.june",1,1
"4317","trace",2,2
"4318","cumberland",3,3
"4319","big",2,2
"4320","party",77,39
"4321","wounded.augusta",1,1
"4322","twiggs",1,1
"4323","crossed",10,8
"4324","oconnee",1,1
"4325","cakmulgee",1,1
"4326","halt",2,2
"4327","build",6,6
"4328","cavalry",5,5
"4329","amounting",10,10
"4330","brigadier",2,2
"4331","irwin",1,1
"4332","clark",12,6
"4333","blackburn",1,1
"4334","murders",4,4
"4335","devastations",1,1
"4336","faithless",1,1
"4337","savages.brigadier",1,1
"4338","glascock",1,1
"4339","brigade",4,3
"4340","expenditure",7,6
"4341","establishments",9,9
"4342","muir",5,4
"4343","skirving",1,1
"4344","margarot",1,1
"4345","beds",1,1
"4346","previous",16,16
"4347","hand-cuffed",1,1
"4348","post-chaise",1,1
"4349","woolwich",5,3
"4350","waits",1,1
"4351","bay.mr",1,1
"4352","palmer",3,3
"4353","hulks",5,4
"4354","vessel.between",1,1
"4355","sixty",9,8
"4356","blackfriars",1,1
"4357","bridge",7,5
"4358","behaved",4,3
"4359","turbulent",1,1
"4360","fought",6,5
"4361","lamentable",2,2
"4362","eyes",9,9
"4363","spectator",4,4
"4364","infants",3,3
"4365","humble",8,8
"4366","exhibitions",2,2
"4367","preludes",1,1
"4368","interludes",1,1
"4369","yea",1,1
"4370","lewds",1,1
"4371","stage-plays",1,1
"4372","discountenanced",1,1
"4373","pointing",2,2
"4374","corrupting",1,1
"4375","morals",2,2
"4376","walesthe",1,1
"4377","particulars",15,15
"4378","respecting",33,27
"4379","unacceptable",1,1
"4380","grant",45,27
"4381","novemeber",1,1
"4382","luxuriant",3,3
"4383","floods.governor",1,1
"4384","oraheire",1,1
"4385","singularly",2,2
"4386","porpoise",1,1
"4387","trip",3,2
"4388","brig",26,24
"4389","failed",10,9
"4390","grant's",1,1
"4391","sydney.the",1,1
"4392","understanding",6,6
"4393","otaheite",9,9
"4394","stape",2,2
"4395","commodity",3,3
"4396","coals",9,8
"4397","abundance",11,10
"4398","hunter's",2,1
"4399","plenty",14,9
"4400","wood",26,15
"4401","masting",1,1
"4402","shipping",12,11
"4403","horn",5,5
"4404","anna",24,10
"4405","josepha",1,1
"4406","loaded",5,4
"4407","spars",1,1
"4408","rix",1,1
"4409","sterling.)governor",1,1
"4410","newcastle.mr",1,1
"4411","nelson",3,2
"4412","survey",6,4
"4413","pentrated",1,1
"4414","seventy",4,4
"4415","paterson",3,3
"4416","discover",4,4
"4417","resembling",3,3
"4418","sustic",1,1
"4419","found.mr",1,1
"4420","burthen",5,4
"4421","sliding",1,1
"4422","keels",1,1
"4423","schank's",1,1
"4424","construction",4,4
"4425","straits",9,7
"4426","separate",9,8
"4427","van",53,36
"4428","diemens",1,1
"4429","higher",16,11
"4430","latitude",10,6
"4431","observes",6,3
"4432","lies",10,9
"4433","bold",5,5
"4434","offing",1,1
"4435","fathoms",2,2
"4436","shells.by",1,1
"4437","wilson's",1,1
"4438","promontory",1,1
"4439","sheltered",1,1
"4440","capable",11,11
"4441","procured",8,8
"4442","shoals",1,1
"4443","favourable",21,17
"4444","report",59,31
"4445","glasgowquebec",1,1
"4446","characters",8,7
"4447","dissolved",1,1
"4448","improper",4,4
"4449","proprietor",2,2
"4450","canadien",2,1
"4451","arrested",8,5
"4452","jail",7,5
"4453","treasonable",2,1
"4454","seditious",1,1
"4455","practises",3,2
"4456","printing",2,2
"4457","types",1,1
"4458","vigorous",4,4
"4459","james",50,26
"4460","craig",4,3
"4461","astonished",3,2
"4462","crushed",3,2
"4463","faction",1,1
"4464","acquiring",1,1
"4465","ingluence",1,1
"4466","misled",1,1
"4467","demagogues",1,1
"4468","seize",5,3
"4469","stirring",1,1
"4470","preserve",3,3
"4471","frenchmen",1,1
"4472","conquest.quebec",1,1
"4473","printer",1,1
"4474","lafrancois",1,1
"4475","warrant",8,7
"4476","blanchet",1,1
"4477","bedard",1,1
"4478","taschereau",1,1
"4479","charges.the",1,1
"4480","head-quarters",8,7
"4481","curt",2,2
"4482","celebrate",2,2
"4483","birthday-day–at",1,1
"4484","nobility",1,1
"4485","gentry",1,1
"4486","field-officers",1,1
"4487","present.among",1,1
"4488","accidents",1,1
"4489","occurred",18,18
"4490","birth-day",1,1
"4491","imprudent",1,1
"4492","gunpowder",2,2
"4493","girl",3,3
"4494","street",20,14
"4495","squib",1,1
"4496","infirmary",13,5
"4497","severely",11,10
"4498","morning.a",1,1
"4499","berwickshire",1,1
"4500","baggage",5,5
"4501","carts",2,2
"4502","forfarshire",1,1
"4503","stopping",4,3
"4504","boy",7,7
"4505","serjeant-major",1,1
"4506","nicol",1,1
"4507","cart",4,3
"4508","climbing",1,1
"4509","wheel",5,3
"4510","suddengoing",1,1
"4511","threw",6,6
"4512","passing",9,9
"4513","mother",21,12
"4514","happened.on",1,1
"4515","gibson-street",1,1
"4516","shilling",3,3
"4517","counterfeit",1,1
"4518","half-guinea",1,1
"4519","pocket-book",1,1
"4520","partial",2,2
"4521","payments",9,4
"4522","marked",9,9
"4523","villians",1,1
"4524","forcing",1,1
"4525","shutter",1,1
"4526","bar",5,5
"4527","breaking",4,4
"4528","pane",1,1
"4529","glass",6,5
"4530","bolts",2,2
"4531","opened.on",1,1
"4532","sturday",1,1
"4533","porter",2,2
"4534","dundee",7,5
"4535","unloading",1,1
"4536","rope",2,2
"4537","pully",1,1
"4538","instantly.a",1,1
"4539","mason",4,3
"4540","stevenson",1,1
"4541","blowing",10,10
"4542","stones",4,4
"4543","templeton",1,1
"4544","auchterhouse",1,1
"4545","unfortunately",5,4
"4546","explosion",4,4
"4547","lament",4,4
"4548","agitation",3,3
"4549","occasioned",14,13
"4550","pointe",2,1
"4551","claire",2,1
"4552","matter",27,19
"4553","clothed",5,5
"4554","dress",12,12
"4555","misrepresentatation",1,1
"4556","enemies",3,3
"4557","dury",1,1
"4558","owe",5,3
"4559","candid",5,5
"4560","manner.by",1,1
"4561","drafted",3,2
"4562","trained",3,3
"4563","furnished",11,10
"4564","lapraire",2,1
"4565","divion",1,1
"4566","leprohon",1,1
"4567","battalion",10,6
"4568","attendants",4,3
"4569","apprehend",2,2
"4570","refractory",1,1
"4571","deserters.they",1,1
"4572","rescued",3,3
"4573","prisoner",5,4
"4574","depot",6,3
"4575","wednesday",26,21
"4576","chine",1,1
"4577","intention",18,17
"4578","threats",2,2
"4579","execution.thomas",1,1
"4580","m'cord",3,1
"4581","police",10,6
"4582","detachment",16,14
"4583","field-pieces",2,2
"4584","plenderleath",2,2
"4585","point",23,21
"4586","opposite",9,9
"4587","impropriety",1,1
"4588","await",2,2
"4589","perseverance",5,4
"4590","urging",1,1
"4591","persuasion",5,5
"4592","disperse",3,1
"4593","peaceably",1,1
"4594","obey",6,6
"4595","law.they",1,1
"4596","passed–that",1,1
"4597","legislate",1,1
"4598","enacted",8,4
"4599","promagated",1,1
"4600","it.under",1,1
"4601","false",6,5
"4602","deluded",3,2
"4603","persisted",3,2
"4604","shouts",1,1
"4605","vive",1,1
"4606","roi",1,1
"4607","wanted",14,14
"4608","defence",20,10
"4609","faithful",4,4
"4610","firmly",3,3
"4611","attached",5,5
"4612","principle.finding",1,1
"4613","magisterial",1,1
"4614","capacity",9,9
"4615","riot",1,1
"4616","spirited",4,4
"4617","volley",2,2
"4618","grape",3,3
"4619","harm",3,3
"4620","mob",1,1
"4621","direct",8,8
"4622","shots",3,3
"4623","dark",11,11
"4624","feared",4,4
"4625","mortally",1,1
"4626","brock",3,2
"4627","administering",2,2
"4628","major-general",4,4
"4629","commanding",7,5
"4630","forces",13,11
"4631","therein",4,4
"4632","fort-george",1,1
"4633","proceeded",46,31
"4634","p.m",2,2
"4635","extra",2,2
"4636","honourable",22,15
"4637","assemblythe",1,1
"4638","urgency",2,2
"4639","crisis",4,3
"4640","induced",10,7
"4641","attention.but",1,1
"4642","invaded",2,2
"4643","enemy",44,14
"4644","avowed",3,3
"4645","entire",7,7
"4646","conquest",4,4
"4647","loyalty",7,3
"4648","calls",4,4
"4649","sphere",1,1
"4650","placed",28,23
"4651","defend",6,5
"4652","country.our",1,1
"4653","obeyed",8,8
"4654","evinced",4,4
"4655","promptitude",2,2
"4656","particulary",2,2
"4657","address",21,16
"4658","legislators",3,2
"4659","assist",6,6
"4660","counsels",1,1
"4661","arms.we",1,1
"4662","conceal",4,4
"4663","instructor",1,1
"4664","amendment",15,5
"4665","efficient",4,4
"4666","improvements",10,9
"4667","require.honourable",1,1
"4668","assemblyfrom",1,1
"4669","history",4,4
"4670","actual",10,8
"4671","invasion",11,8
"4672","interal",1,1
"4673","commotion",2,2
"4674","ordinary",16,13
"4675","criminal",9,8
"4676","treachery",1,1
"4677","disaffection",1,1
"4678","enact",1,1
"4679","expose",1,1
"4680","justify",4,4
"4681","reposed",1,1
"4682","emergency",2,2
"4683","houses.a",1,1
"4684","traitors",1,1
"4685","joined",10,10
"4686","enemy–have",1,1
"4687","impunity–and",1,1
"4688","harboured",1,1
"4689","concealed",2,2
"4690","pervade",1,1
"4691","authorise",5,3
"4692","mislead",1,1
"4693","deceive",2,2
"4694","unavailing",1,1
"4695","disaffected",1,1
"4696","convinced",10,8
"4697","few–to",1,1
"4698","loyal",11,7
"4699","deliberations.the",1,1
"4700","concludes",6,5
"4701","supplies.proclamationthe",1,1
"4702","declaration",5,4
"4703","dependencies",4,4
"4704","disticts",2,2
"4705","invite",1,1
"4706","merely",27,25
"4707","quiet",6,6
"4708","unresisting",1,1
"4709","submission",1,1
"4710","insults",2,2
"4711","seek",8,7
"4712","voluntarily",2,2
"4713","government.without",1,1
"4714","condescending",1,1
"4715","repeat",2,2
"4716","illiberal",1,1
"4717","bestowed",3,3
"4718","appeal",6,4
"4719","confutation",1,1
"4720","indecent",1,1
"4721","slander",2,2
"4722","review",2,2
"4723","cirumstances",3,3
"4724","canadian",14,11
"4725","affirm",1,1
"4726","growth",7,5
"4727","exhibits",2,2
"4728","veterans",1,1
"4729","exiled",1,1
"4730","descendant",2,2
"4731","brave",7,7
"4732","fostering",2,2
"4733","ancestors",2,2
"4734","unequalled",1,1
"4735","maritime",4,4
"4736","secured",9,8
"4737","access",1,1
"4738","request",10,8
"4739","unavoidable",1,1
"4740","separation",4,4
"4741","exclusion",3,3
"4742","ocean",12,12
"4743","enforces",1,1
"4744","flattered",1,1
"4745","participation",5,3
"4746","boasted",3,3
"4747","obvious",10,9
"4748","exchanged",1,1
"4749","re-annexed",1,1
"4750","dominion",2,2
"4751","wrested",1,1
"4752","treasure",6,6
"4753","motive",2,2
"4754","ungrateful",1,1
"4755","cruel",6,5
"4756","neighbour",2,2
"4757","restitution",4,3
"4758","stipulated",5,5
"4759","reward",8,8
"4760","revolted",2,2
"4761","pledge",4,4
"4762","relaxation",2,2
"4763","tyranny",5,3
"4764","despot",2,2
"4765","rules",4,3
"4766","rod",3,3
"4767","arise",6,5
"4768","energies",3,2
"4769","co-operate",1,1
"4770","repel",2,2
"4771","invader",2,2
"4772","reproach",4,3
"4773","richest",3,3
"4774","earth–a",1,1
"4775","britain.[the",1,1
"4776","ranks",1,1
"4777","retaliation",4,3
"4778","place.]isaac",1,1
"4779","major-gen",1,1
"4780","papersprovincial",1,1
"4781","council–aug",1,1
"4782","usual",32,22
"4783","throne",5,3
"4784","usher",2,2
"4785","black",20,16
"4786","speaker",9,5
"4787","said–may",1,1
"4788","excellencyhis",1,1
"4789","intituled",1,1
"4790","powerfully",3,3
"4791","basis",1,1
"4792","formation",6,6
"4793","unjust",6,6
"4794","obligation",3,3
"4795","ameliorate",1,1
"4796","insure",4,4
"4797","punctual",1,1
"4798","guaranteed",2,2
"4799","moreover",4,4
"4800","provides",3,3
"4801","accruing",1,1
"4802","therefrom",5,2
"4803","specie",9,7
"4804","expressly",6,6
"4805","prefer",2,2
"4806","payment.in",1,1
"4807","confidence",9,9
"4808","unforeseen",1,1
"4809","invested",5,4
"4810","rely",2,2
"4811","humbly",4,4
"4812","requesting",3,3
"4813","thereto",8,6
"4814","assent.his",2,1
"4815","signify",1,1
"4816","provincial",5,5
"4817","prorogued",3,3
"4818","canadaextract",3,3
"4819","plattsburgh",5,4
"4820","ocular",1,1
"4821","observation",9,9
"4822","bloomfield",1,1
"4823","mooar",1,1
"4824","petit",2,2
"4825","composed",13,11
"4826","regulars",5,5
"4827","volunteers",7,5
"4828","southward",5,4
"4829","yankees",2,1
"4830","entertained",19,16
"4831","theywill",1,1
"4832","movements",3,3
"4833","getting",3,3
"4834","stockings",3,3
"4835","campaign",2,2
"4836","preparation",4,4
"4837","prevost",2,2
"4838","cordon",2,1
"4839","chambly",2,2
"4840","extending",16,16
"4841","chateaguny",1,1
"4842","encampment",4,4
"4843","prairie",5,5
"4844","murray",10,5
"4845","isle-au",1,1
"4846","noix",4,4
"4847","strongly",11,9
"4848","fortified",2,2
"4849","boom",1,1
"4850","voltigeurs",1,1
"4851","royals",3,3
"4852","camp",15,11
"4853","mount",10,3
"4854","battalions",2,2
"4855","disciplined",2,1
"4856","alarm",16,11
"4857","embodied",3,3
"4858","inrolled",2,2
"4859","lieutenant-colonel",10,6
"4860","voyageurs",1,1
"4861","advance",29,21
"4862","handsomely",2,2
"4863","commandant",2,2
"4864","shaw",1,1
"4865","partners",8,5
"4866","captains",3,3
"4867","subordination.sir",1,1
"4868","confines",1,1
"4869","mere",9,8
"4870","motte",1,1
"4871","advanced",19,16
"4872","woods",23,15
"4873","hearing",3,3
"4874","redoubtable",1,1
"4875","whoop",2,2
"4876","terrified",1,1
"4877","successive",3,3
"4878","nights",4,4
"4879","attack–to",1,1
"4880","roads",18,15
"4881","invade",1,1
"4882","headquarters",1,1
"4883","destroy",9,9
"4884","line.this",1,1
"4885","forebearance",1,1
"4886","impute",1,1
"4887","fear",7,7
"4888","weakness",2,2
"4889","tends",3,3
"4890","swaggering",1,1
"4891","enmity",1,1
"4892","inveterate",3,3
"4893","allayed",1,1
"4894","knocks",1,1
"4895","canadathe",6,6
"4896","rota",1,1
"4897","frigate",9,9
"4898","convoy",3,2
"4899","hydra",1,1
"4900","official",23,19
"4901","notification",1,1
"4902","yeo's",1,1
"4903","lake",20,9
"4904","notices",3,3
"4905","published.bulletin.head-quarters",1,1
"4906","commodore",4,3
"4907","yeo",4,3
"4908","half-past",6,5
"4909","transmitted",5,5
"4910","capture",7,6
"4911","enemy's",14,5
"4912","schooners:–on",1,1
"4913","chauncey",2,2
"4914","weigh",3,3
"4915","anchorage",1,1
"4916","breeze",4,3
"4917","becalmed",1,1
"4918","sun-set",2,2
"4919","schooners",8,2
"4920","pike",3,1
"4921","madison",3,1
"4922","oneida",1,1
"4923","windward",3,2
"4924","raking",1,1
"4925","gun-shot",1,1
"4926","fast",3,3
"4927","wolf",4,1
"4928","headmost",1,1
"4929","astern",1,1
"4930","stern-chasers",1,1
"4931","ward",5,4
"4932","captured",8,6
"4933","julia",1,1
"4934","growler",1,1
"4935","pounder",3,2
"4936","scourge",1,1
"4937","upset",2,2
"4938","our's",2,2
"4939","mounts",1,1
"4940","pounders",3,2
"4941","loads",3,2
"4942","repelling",2,2
"4943","boarders",1,1
"4944","hurt",3,3
"4945","prisoners",25,15
"4946","growler's",1,1
"4947","damage",13,9
"4948","repaired",1,1
"4949","bowsprit",1,1
"4950","up.nothing",1,1
"4951","eagerness",1,1
"4952","enthusiasm",4,4
"4953","mercury",2,2
"4954","schlosser",2,1
"4955","rottenburg",2,1
"4956","schlosser.in",1,1
"4957","volunteer",1,1
"4958","thompson",5,5
"4959","privates",9,7
"4960","ensign",3,3
"4961","winder",1,1
"4962","thirty-four",1,1
"4963","clarke",3,3
"4964","lincoln",5,3
"4965","chippawa",9,4
"4966","day-break",1,1
"4967","lieutenants",2,2
"4968","serjeant",6,5
"4969","civilians",2,2
"4970","stores",19,12
"4971","brass",1,1
"4972","six-pounder",1,1
"4973","kegs",1,1
"4974","musket",2,1
"4975","cartridges",1,1
"4976","bulwarks",1,1
"4977","curtains",1,1
"4978","gun-boat",2,2
"4979","batteaux",2,1
"4980","casks",2,2
"4981","whiskey",1,1
"4982","spades",1,1
"4983","oars",4,2
"4984","axes",2,2
"4985","pushed",2,2
"4986","creditable",5,5
"4987","warriors",18,15
"4988","serving",3,3
"4989","endeavour",6,6
"4990","medicines",3,1
"4991","surgical",1,1
"4992","instruments",4,3
"4993","skirmish",1,1
"4994","ensued",5,5
"4995","prisoners–the",1,1
"4996","norton",2,2
"4997","merrit",1,1
"4998","dragoons",3,3
"4999","reconnoitering",1,1
"5000","conducting",4,4
"5001","barracks",4,2
"5002","gravelly",1,1
"5003","gun-boats",1,1
"5004","durham",4,4
"5005","colleced",1,1
"5006","sacket's",2,1
"5007","destroyed.attack",1,1
"5008","rock",6,3
"5009","o.–his",1,1
"5010","reporting",2,2
"5011","dockyard",1,1
"5012","daybreak",1,1
"5013","inst",23,18
"5014","detachments",5,5
"5015","liutenant",3,3
"5016","fitzgibbon's",1,1
"5017","bishopp",3,1
"5018","six-pounders",1,1
"5019","naval",8,8
"5020","store-houses",1,1
"5021","burnt.unfortunately",1,1
"5022","evacuation",3,3
"5023","completed",8,8
"5024","reinforcement",2,2
"5025","saunders",1,1
"5026","montpesson",1,1
"5027","file",1,1
"5028","wound",2,2
"5029","over.lieutenant-colonel",1,1
"5030","wounds",1,1
"5031","dangerous.by",1,1
"5032","excellency's",1,1
"5033","commandedward",1,1
"5034","baynes",1,1
"5035","adjutant-generalbritish",1,1
"5036","expedition",28,16
"5037","plattsburghthe",1,1
"5038","citizen",4,4
"5039","burlington",3,1
"5040","express",14,12
"5041","isle",12,11
"5042","sloops",1,1
"5043","gallies",1,1
"5044","progressed",1,1
"5045","instantly",11,11
"5046","learnt",2,2
"5047","retreated",4,3
"5048","arsenal",2,2
"5049","pike's",1,1
"5050","serenac",1,1
"5051","cantonment",1,1
"5052","dearborn",3,1
"5053","invading",1,1
"5054","greenbush",1,1
"5055","edwards",1,1
"5056","murehead",1,1
"5057","dickson",2,2
"5058","lyminston",1,1
"5059","lawe",2,1
"5060","kerrs",2,1
"5061","m'ewan",1,1
"5062","addison",1,1
"5063","howell",1,1
"5064","heron",1,1
"5065","green",6,4
"5066","baldwin",1,1
"5067","clinch",1,1
"5068","jones",4,4
"5069","decoe",1,1
"5070","crook",1,1
"5071","m'ewen",1,1
"5072","americans.general",1,1
"5073","resigned",2,2
"5074","indisposition",1,1
"5075","lewis",4,3
"5076","events",11,10
"5077","deranged",1,1
"5078","convalescence",1,1
"5079","relapsed",1,1
"5080","topics",3,3
"5081","nominated",2,2
"5082","boyd.the",1,1
"5083","tecumseh",1,1
"5084","diversion",3,3
"5085","surround",1,1
"5086","meigs",1,1
"5087","possibility",2,2
"5088","urgently",1,1
"5089","collecting",3,3
"5090","relief.sir",1,1
"5091","swept",2,2
"5092","sodus",1,1
"5093","genessee",1,1
"5094","inflicted",4,4
"5095","vincent",3,3
"5096","marinersthere",1,1
"5097","commencement",8,6
"5098","beaufort",2,2
"5099","parole",1,1
"5100","melpomene",1,1
"5101","meuron's",2,2
"5102","mediterranean",3,3
"5103","lawrence",8,5
"5104","july.james",1,1
"5105","gready",1,1
"5106","terence",1,1
"5107","hunt",5,4
"5108","foot",14,13
"5109","tried",8,8
"5110","martials",1,1
"5111","deserting",2,2
"5112","publicy",1,1
"5113","sentence.it",1,1
"5114","wilkinson",4,3
"5115","chest",2,2
"5116","british.captain",1,1
"5117","waugh",1,1
"5118","chamely",1,1
"5119","july.general",1,1
"5120","hampton",3,3
"5121","defalcation",1,1
"5122","victory",5,4
"5123","canadaby",0,0
"5124","dunlop",3,2
"5125","abrams",1,1
"5126","greenock",17,13
"5127","lieut.-col",1,1
"5128","morrison",2,2
"5129","ended",5,4
"5130","produced",24,23
"5131","steps",9,8
"5132","actively",3,3
"5133","pur",1,1
"5134","sued",2,2
"5135","alexander",17,11
"5136","henry",13,8
"5137","tuesday:–quebec",1,1
"5138","boyd",2,2
"5139","instant.the",1,1
"5140","gen.conington",1,1
"5141","preston",1,1
"5142","killed–probably",1,1
"5143","taken.the",1,1
"5144","precipitate",4,4
"5145","cornwall",3,3
"5146","evacuating",1,1
"5147","marched",7,7
"5148","route",11,9
"5149","salmon",3,2
"5150","frozen",2,2
"5151","them.colonel",1,1
"5152","moravian",2,1
"5153","barbarous",3,3
"5154","irruption",1,1
"5155","province:–yesterday",1,1
"5156","afflicting",10,8
"5157","erle",1,1
"5158","s[?]al",1,1
"5159","occupying",5,4
"5160","chapel",7,5
"5161","malice",3,3
"5162","congregation",11,3
"5163","brethren",3,2
"5164","cottages",2,2
"5165","denke",1,1
"5166","schnall",1,1
"5167","missionary",10,9
"5168","michael",1,1
"5169","remained.during",1,1
"5170","tone",2,2
"5171","showed",5,4
"5172","curses",1,1
"5173","plundering",3,2
"5174","appealed",1,1
"5175","redress",1,1
"5176","exable",1,1
"5177","pretence",4,4
"5178","ransacked",1,1
"5179","trunk",3,2
"5180","perry",1,1
"5181","mosquito",1,1
"5182","advicing",1,1
"5183","difficulty",19,15
"5184","shortly",11,11
"5185","outhouse",1,1
"5186","journey",16,11
"5187","silitiz",1,1
"5188","intelligencea",2,2
"5189","macquarrie",12,9
"5190","stating",14,13
"5191","peter",3,3
"5192","deputy",10,6
"5193","surveyor",5,3
"5194","dalrymple",1,1
"5195","dieman's",25,18
"5196","williams",4,3
"5197","commissary",2,2
"5198","absconded",1,1
"5199","habitations",2,2
"5200","rapine",1,1
"5201","gang",3,2
"5202","desperadoes",1,1
"5203","robberies–entering",1,1
"5204","driving",3,3
"5205","cattle",19,13
"5206","declares",1,1
"5207","pardoned",2,2
"5208","harmless",1,1
"5209","offences",5,4
"5210","crime",8,5
"5211","wilful",4,4
"5212","denounces",1,1
"5213","disregard",2,2
"5214","outlaws.sydney",1,1
"5215","walves",3,3
"5216","jan",5,4
"5217","argo",1,1
"5218","tea",6,5
"5219","chests",2,1
"5220","souchong",1,1
"5221","ditto",131,9
"5222","bobea",1,1
"5223","hyson",2,1
"5224","skin",3,3
"5225","souching",1,1
"5226","argo's",1,1
"5227","mauritius",4,4
"5228","sundies",1,1
"5229","harpy",1,1
"5230","allen.in",1,1
"5231","oppressive",7,7
"5232","masters",4,4
"5233","crews",4,3
"5234","zealand",39,19
"5235","disturbed",5,5
"5236","ofthe",4,4
"5237","allied",3,3
"5238","powers–his",1,1
"5239","forbidden",2,2
"5240","clear",21,16
"5241","bond",6,4
"5242","owner",4,4
"5243","binding",3,3
"5244","crew",59,23
"5245","guilty",7,7
"5246","trespass",1,1
"5247","forment",1,1
"5248","prevail",14,13
"5249","penalty",2,2
"5250","forfeiting",1,1
"5251","bond.a",1,1
"5252","undertook",1,1
"5253","ascertaining",2,2
"5254","grazing",2,2
"5255","track",14,7
"5256","campbell",13,6
"5257","thither",5,5
"5258","herd",4,4
"5259","example",10,9
"5260","others.thomas",1,1
"5261","convict",7,4
"5262","cornwall's",1,1
"5263","conditional",1,1
"5264","pardon",3,3
"5265","sobriety",2,2
"5266","mill",6,4
"5267","grinding",1,1
"5268","barcorn",1,1
"5269","vicinty",1,1
"5270","town.sydney",1,1
"5271","maintained",5,5
"5272","fields",7,7
"5273","settler",10,8
"5274","veteran",3,3
"5275","narushed",1,1
"5276","eustace",1,1
"5277","compelled",6,6
"5278","plundered",21,12
"5279","milehouse",1,1
"5280","butcher",2,2
"5281","children–the",1,1
"5282","baker",4,3
"5283","stock-keeper",1,1
"5284","macarthur",1,1
"5285","sullivan",3,2
"5286","herburg.sydney",1,1
"5287","feb",9,9
"5288","hewett",2,1
"5289","earle",1,1
"5290","oglivie",1,1
"5291","windham",1,1
"5292","bligh",2,2
"5293","molle",2,1
"5294","o'connell",1,1
"5295","walters",1,1
"5296","agent",27,21
"5297","canada[extracts",1,1
"5298","sadly",1,1
"5299","adhered",3,3
"5300","reinforcements",3,3
"5301","handful",3,3
"5302","fellows",3,3
"5303","sacrificed",2,2
"5304","par",2,2
"5305","petite",1,1
"5306","guerre",1,1
"5307","nothing.some",1,1
"5308","inspecting",2,2
"5309","men's",2,2
"5310","stepped",2,2
"5311","plainly",2,2
"5312","systems",2,2
"5313","exploded–that",1,1
"5314","celebratedgeneral",1,1
"5315","again–that",1,1
"5316","retire",5,4
"5317","numberless",1,1
"5318","representations",5,4
"5319","to.montreal",1,1
"5320","perfectly",19,13
"5321","withstanding",2,2
"5322","unhis",1,1
"5323","offensive",2,2
"5324","summer",21,17
"5325","a-week",2,2
"5326","bowing",1,1
"5327","scraping",2,2
"5328","emplying",1,1
"5329","be.you",1,1
"5330","jacob",3,3
"5331","brown",10,8
"5332","erie",9,3
"5333","rial",1,1
"5334","gallantly",1,1
"5335","assailed",2,2
"5336","overpowered",4,3
"5337","inclose",2,2
"5338","great.upon",1,1
"5339","sorel",2,2
"5340","aux",3,3
"5341","province.i",1,1
"5342","sincerely",3,3
"5343","investigation",6,6
"5344","disgraceful",6,6
